GitHub_ID,Titulo,Tipo,Descripción
#3,Gestionar Trámites,Requerimientos Funcionales,Conjunto de requerimientos asociados a la gestión de los trámites de la escribanía
#4,Preparar Presupuestos,Requerimientos Funcionales,Conjunto de requerimientos asociados a la gestión de presupuestos
#5,Procesar solicitud de presupuestos,Requerimientos Funcionales,"Tomar datos esenciales de la persona que solicita un presupuesto: nombre, apellido, tipo y número de identificación, teléfono y correo electrónico. Generar un número de presupuesto para permitir su identificación posterior en caso de que el cliente decida aceptarlo y comenzar un trámite."
#6,Editar plantillas de presupuestos,Requerimientos Funcionales,"Permitir a los usuarios personalizar la plantilla, detallando los conceptos a ser presupuestados, sus valores y el total del presupuesto. Se deben considerar gastos fijos y variables como impuestos y sellos."
#7,Imprimir presupuestos,Requerimientos Funcionales,Proveer la capacidad de imprimir los presupuestos existentes en papel
#8,Modificar presupuestos,Requerimientos Funcionales,Permitir al usuario modificar los conceptos y valores de los presupuestos
#9,Agregar ítems adicionales a los presupuestos,Requerimientos Funcionales,Permitir incorporar conceptos adicionales a un presupuesto ya existente
#10,Iniciar trámites,Requerimientos Funcionales,Requerimientos asociados al inicio de un trámite
#11,Verificar presupuestos,Requerimientos Funcionales,"Para iniciar cualquier trámite, debe existir obligatoriamente un presupuesto asociado. Si no existe uno, deberá crearse en el momento en que se desee iniciar la gestión."
#12,Verificar clientes,Requerimientos Funcionales,"Para iniciar cualquier tipo de trámite, la persona interesada deberá estar registrada como cliente de la escribanía. Si no lo está, deberá darse de alta como nuevo cliente."
#13,Registrar inicio de gestión de trámites,Requerimientos Funcionales,"Se deberá registrar la fecha en que se inició un determinado trámite, el tipo de trámite y su composición (documentos y certificados necesarios), así como el escribano a cargo de la gestión."
#14,Administrar certificados y documentos,Requerimientos Funcionales,Requerimientos asociados con la gestión de la documentación necesaria para los trámites
#15,Determinar los documentos necesarios para cada trámite,Requerimientos Funcionales,Identificar aquellos documentos que posean vencimientos o impuestos a pagar y presentar esta información al usuario
#16,Generar solicitudes de certificados y documentos,Requerimientos Funcionales,Permitir obtener una lista de todos los documentos y certificados que deben ser presentados para la gestión de un determinado trámite
#17,Imprimir solicitudes,Requerimientos Funcionales,Permitir la impresión en papel o PDF de la lista de documentos necesarios para un determinado trámite
#18,Informar preparación de documentos,Requerimientos Funcionales,Permitir llevar un registro de los documentos que fueron preparados para entregar por las entidades externas
#19,Informar seguimiento de documentos,Requerimientos Funcionales,"Permitir realizar el seguimiento de los documentos a través de su presentación, deudas, impuestos y vencimientos. Se deberá informar a los usuarios mediante avisos automáticos para documentos próximos a vencer. Permitir informar si fueron canceladas las deudas y liberados los documentos, y en caso contrario, listar cuáles están pendientes de pago y/o liberación."
#20,Abonar trámite,Requerimientos Funcionales,Requerimientos asociados con los pagos de los trámites
#21,Registrar quién abona el trámite,Requerimientos Funcionales,"Permitir identificar al cliente y al trámite a ser abonado, la fecha del pago y el saldo restante. Todo trámite debe asociarse a un presupuesto, por lo que el costo y saldo del trámite se calcula en base al mismo."
